tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
NA,NA,NA,NA,NA,NA,NA,NA,NA
seen live,Dizzee Rascal,Hip-Hop,Grime,12001075,Wiley,JME,Kano,723680
funk volume,Dizzy Wright,rap,Hip-Hop,599311,Jarren Benton,Hopsin,Futuristic,39527
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,DJ Cash Money,hip hop,seen live,8444,L'Trimm,A.D.O.R.,MC Shy D,652
rap,DJ Casper,trance,dance,93921,Fast Food Rockers,Eyeopener,Pascal feat. Karen Parry,26249
rap,DJ Clay,Horrorcore,juggalo,372579,2 Dope,Mike E. Clark,Monoxide,63973
new york,DJ Clue?,Hip-Hop,rap,21574,DJ Kay Slay,Amil,Drag-On,2759
Dirty South,DJ Drama,rap,Hip-Hop,1087052,DJ Khaled,French Montana,2 Chainz,189745
dj,DJ Felli Fel,rap,Hip-Hop,501607,Ying Yang Twins,Lil Scrappy,Baby Bash,118558
NA,NA,NA,NA,NA,NA,NA,NA,NA
techno,Dj Fuze,rap,electronic,642,Ultimate Buzz,Francisko,Joe Kendut,167
rap,DJ Green Lantern,hip hop,Hip-Hop,219344,"Gostfase, M. Shinoda and Lupe Fiasco",DJ Kay Slay,D-Block,33780
turntablism,DJ Head,rap,Hip-Hop,314,Big Gov,Mersonary Killaz,Rico Fonzarelli,95
funk,DJ Hurricane,seen live,Hip-Hop,9762,Zeb Roc Ski,D-Nice,Ultimate Force,2079
Mixtape DJ,DJ Kay Slay,rap,Hip-Hop,117283,Styles P And DJ Green Lantern,J.R. Writer,Willie the Kid,16653
hip hop,DJ Khaled,rap,Hip-Hop,7861446,DJ Drama,French Montana,Meek Mill,917719
Hip-Hop,DJ Krush,electronic,trip-hop,11618057,DJ Krush & Toshinori Kondo,DJ Cam,DJ Shadow,540382
west coast,DJ Mustard,rap,Hip-Hop,514723,Ty Dolla $ign,YG,DJ Khaled,75164
rap,DJ Paul,hardcore,Hip-Hop,636310,Da Mafia 6ix,Three 6 Mafia,Project Pat,93435
G-funk,DJ Pooh,Gangsta Rap,West Coast Rap,11555,Daddy V,I Smooth 7,Watts Gangstas,1601
producer,DJ Premier,turntablism,Hip-Hop,1699204,DJ Jazzy Jeff,PRhyme,Pete Rock,134639
rap,DJ Quik,Hip-Hop,G-funk,2272893,Tha Dogg Pound,Suga Free,Kurupt,217581
Dirty South,DJ Screw,screw,Hip-Hop,1181456,Fat Pat,Three 6 Mafia,Big Moe,79591
Hip-Hop,DJ Shadow,electronic,trip-hop,33063675,DJ Shadow & Cut Chemist,DJ Krush,UNKLE,1220533
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Doap Nixon,underground hip-hop,Hip-Hop,258263,King Syze,Randam Luck,King Magnetic,23278
Dirty South,Doe B,rap,Hip-Hop,82941,Yo Gotti,Kevin Gates,Young Dro,7418
rap,Dok2,Hip-Hop,Korean,418721,The Quiett,Illionaire Records,Beenzino,11346
rnb,Dolla,Hip-Hop,rap,285236,Drew Sidora,Yung Joc feat. 3LW,Drew Sidora Feat. Mario,55527
west coast,Dom Kennedy,rap,Hip-Hop,2495082,Curren$y,Casey Veggies,Nipsey Hussle,271451
Hip-Hop,Dominique Young Unique,rap,seen live,212028,Rye Rye,Khia,Trina,24787
hip hop,Domino,rap,eurobeat,670882,dom!No,Virginelle,Cherry,64158
rap,Domo Genesis,ofwgkta,Hip-Hop,1754903,Domo Genesis X Alchemist,MellowHype,Hodgy Beats,98131
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Donnis,hip hop,Hip-Hop,747742,U-N-I,TiRon,GLC,200091
southern rap,Dorrough,rap,Hip-Hop,648997,Yung Joc,YoungBloodz,David Banner,199311
anticon,Doseone,experimental,Hip-Hop,332818,Subtle,Themselves,Deep Puddle Dynamics,17718
rap,Doug E. Fresh,old school,Hip-Hop,111395,MC Lyte,Slick Rick,Kool Moe Dee,33504
rap,Doughbeezy,hip hop,texas,9192,Killa Kyleon,Cory Mo,Propain,875
Gangsta Rap,Dr. Dre,rap,Hip-Hop,35617768,Snoop Dogg,The Game,Ice Cube,2208069
Ruff ryders,Drag-On,Hip-Hop,rap,196457,Styles,D-Block,J-HOOD,43508
rnb,Drake,rap,Hip-Hop,107023728,Big Sean,PARTYNEXTDOOR,Future,3099560
rap,dRes,underground hip-hop,Hip-Hop,10361,DTMD,Boogiemonsters,Small Professor,1854
Hip-Hop,Dresta,rap,west coast,4395,B.G. Knocc Out,Lil Eazy-E,Fo' Clips Eclipse,541
Traxamillion,Drew Deezy,thai,hip hop,7850,"Thai, Drew Deezy & Nump Trump",NUMP Trump,"Thai, Traxamillion & Drew Deezy",1563
underground hip hop,Driicky Graham,rap,hip hop,103910,LoveRance,Finatticz,Cash Out,21236
Hip-Hop,Droop-E,producer,rap,35788,Emp Dasme,Cousin Fik,Western Tink,5292
Bay Area,Dru Down,rap,G-funk,213914,Celly Cel,Spice 1,Mac Mall,40105
southern rap,Drumma Boy,rap,Hip-Hop,38478,Kristyle,Slim Dunkin & D-Bo,Waka Flocka & French Montana,3593
rap,Dumbfoundead,underground hip-hop,Hip-Hop,969992,Wax,Epik High,Watsky,34839
nigeria,Duncan Mighty,african,naijasoundz,26350,eLDee,Sound Sultan,Wande Coal,3559
hip hop,Eve,rap,Hip-Hop,2899752,Lil' Kim,Foxy Brown,Blu Cantrell,464448
hyphy,E-40,Hip-Hop,rap,3029498,Too $hort,Mac Dre,The Jacka,253507
NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston,E.S.G.,rap,Dirty South,253740,Fat Pat,Lil Keke,Big Moe,39433
ofwgkta,Earl Sweatshirt,rap,Hip-Hop,13476341,"Tyler, the Creator",Vince Staples,OFWGKTA,286039
rap,Easy Mo Bee,Hip-Hop,underground hip-hop,14779,Smoothe Da Hustler,KRUMB SNATCHA,Ill Al Skratch,2121
Gangsta Rap,Eazy-E,Hip-Hop,rap,4707489,N.W.A,Ice Cube,MC Ren,604690
boston,Ed O.G.,rap,Hip-Hop,416605,Godfather Don,Ed O.G. & Da Bulldogs,Big Shug,48001
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,El Da Sensei,rap,Hip-Hop,293318,Artifacts,Ed O.G.,Boot Camp Clik,30611
hip hop,El-P,underground hip-hop,Hip-Hop,6694612,Company Flow,Killer Mike,Aesop Rock,280640
ragga,Elephant Man,reggae,dancehall,1730516,Beenie Man,Bounty Killer,Busy Signal,220503
underground hip-hop,Elzhi,detroit,Hip-Hop,1890806,"Royce da 5'9""",Black Milk,Little Brother,139873
2pac,Emcee N.I.C.E.,Redman,rakim,74,2Pac/Outlawz,mc toshi,2pac ft b.i.g.,14
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Erick Sermon,rap,Hip-Hop,781225,Keith Murray,EPMD,Redman,107292
hip hop,Eric Stanley,Classical,violin,24022,pyrofiliac,Peter Lee Johnson,Jimmy Chaos,1395
rap,Esham,acid rap,Horrorcore,917321,Blaze Ya Dead Homie,Twiztid,Insane Clown Posse,81268
funeral doom,Esoteric,funeral doom metal,doom metal,1128758,Evoken,Skepticism,Tyranny,51241
hip hop,Eve,rap,Hip-Hop,2899752,Lil' Kim,Foxy Brown,Blu Cantrell,464448
underground hip-hop,Evidence,rap,Hip-Hop,3817561,Dilated Peoples,Step Brothers,The Alchemist,146523
rhymesayers,Eyedea,underground hip-hop,Hip-Hop,610209,Eyedea & Abilities,Oliver Hart,Kristoff Krane,61852
wu-tang,Ghostface Killah,rap,Hip-Hop,13978161,Raekwon,GZA/Genius,Cappadonna,585923
hip hop,Fabolous,rap,Hip-Hop,11248812,Jadakiss,Lloyd Banks,French Montana,1480576
Hip-Hop,Fabri Fibra,italian,rap,1327491,Marracash,Club Dogo,Salmo,45860
hip hop,Fam-Lay,rap,Hip-Hop,103820,Rosco P. Coldchain,Philly's Most Wanted,Pharrell & The Yessirs,30175
rap,Fashawn,underground hip-hop,Hip-Hop,1986963,Blu & Exile,Blu,Elzhi,166692
hip hop,Fat Joe,Hip-Hop,rap,4367552,The Lox,Big Punisher,DJ Drama,673802
Houston,Fat Pat,Dirty South,rap,361520,E.S.G.,Lil Keke,DJ Screw,72895
Hip-Hop,Fat Trel,trap,rap,207227,Shy Glizzy,Que,PeeWee Longway,19692
NA,NA,NA,NA,NA,NA,NA,NA,NA
new jack swing,Father MC,rnb,Hip-Hop,70436,Teddy Riley,Chuckii Booker,Tracie Spencer,20022
hip hop,Fatman Scoop,rap,Hip-Hop,433708,Eve,Montell Jordan,Flo Rida,94700
female vocalists,Fergie,rnb,pop,18669580,The Pussycat Dolls,Black Eyed Peas,Britney Spears,1712148
trap,Fetty Wap,rap,Hip-Hop,3732319,Rich Homie Quan,Ty Dolla $ign,Kid Ink,287509
rap,Fiend,black metal,Melodic Death Metal,230832,The Unguided,Rise to Fall,Dreamshade,23287
seen live,Flame,Drum and bass,black metal,495548,Tedashii,Trip Lee,Lecrae,42604
rap,Flavor Flav,old school,Hip-Hop,34090,The Trak Kartel,DJ Premier & Bumpy Knuckles,Trump,8172
highlife,Flavour N'abania,nigerian,afrobeat,1155,Flavour,Ice Prince,J. Martins,220
hip hop,Flo Rida,rap,Hip-Hop,30350310,Pitbull,Taio Cruz,Sean Kingston,2020319
Hip-Hop,Flying Lotus,experimental,electronic,41138319,Teebs,Samiyam,J Dilla,695406
rap,Focus...,hip hop,Hip-Hop,21018,Co$$,Freeway & Statik Selektah,Bishop Lamont & Black Milk,1634
alternative,Fonzworth Bentley,hip hop,Hip-Hop,85981,GLC,Donnis,Child Rebel Soldier,26442
alternative,Fort Minor,rap,Hip-Hop,20994201,Jay-Z and Linkin Park,Styles of Beyond,Flipsyde,1191711
Hip-Hop,Foxx,louisiana,rap,235725,Lil Boosie and Webbie,Soulja Slim,Blood Raw,70168
female vocalists,Foxy Brown,rap,Hip-Hop,1177842,Lil' Kim,Remy Ma,Trina,211821
Hip-Hop,Frank Ocean,soul,rnb,50436727,Kanye West,Solange,PARTYNEXTDOOR,1015814
Hip-Hop,Frankie J,pop,rnb,1627432,Mario Vazquez,Mario,Paula DeAnda,232740
memphis rap,Frayser Boy,Hip-Hop,rap,395849,Prophet Posse,Indo G,Crunchy Black,75158
hip hop,Freak Nasty,Hip-Hop,rap,153752,2 Live Crew,69 Boyz,Tag Team,47963
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Freddie Foxxx,underground hip-hop,Hip-Hop,166284,Akrobatik,Large Professor,Screwball,21015
Gangsta Rap,Freddie Gibbs,rap,Hip-Hop,5774350,Freddie Gibbs & Madlib,Jay Rock,Big K.R.I.T.,219552
Hip-Hop,Fredo Santana,trap,drill,456836,Lil Reese,Chief Keef,Lil Durk,23897
Gangsta Rap,Fredro Starr,rap,Hip-Hop,110019,SONNY SEEZA,X-2-C,PMD,9969
producer,Fredwreck,funk,rap,3366,KNOC-TURN'AL,League Of Starz,Bad Lucc,847
rock,Free,blues rock,classic rock,4880719,Bad Company,Humble Pie,Ten Years After,583501
Hip-Hop,Freekey Zekey,Dipset,rap,145073,40 Cal.,Hell Rell,A-Mafia,41404
hip hop,Freeway,rap,Hip-Hop,1459295,Beanie Sigel,Jadakiss,Memphis Bleek,248573
hip hop,French Montana,rap,Hip-Hop,3592575,Meek Mill,2 Chainz,DJ Khaled,406360
NA,NA,NA,NA,NA,NA,NA,NA,NA
juggalo,Fresh Kid Ice,miami,rap,1896,Anybody Killa,JT Money,Violent J,511
hip hop,Froggy Fresh,rap,Hip-Hop,74291,Billy the Fridge,SwizZz,The Palmer Squares,6253
electronic,Frost,Progressive rock,black metal,655792,Frost*,Spock's Beard,Flying Colors,55960
Hip-Hop,Full Blooded,power electronics,noise,1775,Big Ed,Deterge,MJG,250
turntablism,Funkmaster Flex,rap,Hip-Hop,264040,Das EFX,Bizarre,Slum Village,40811
Dirty South,Future,rap,Hip-Hop,12266409,Young Thug,Migos,Gucci Mane,482706
old school rap,Grandmaster Caz,rap,Hip-Hop,16608,Fantastic Freaks,Fab 5 Freddy,Busy Bee,4519
rap,Grandmaster Flash,old school,Hip-Hop,867784,Grandmaster Flash and The Furious Five,The Sugarhill Gang,Kurtis Blow,162711
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,G-Eazy,rap,Hip-Hop,6064368,Skizzy Mars,Logic,Hoodie Allen,338797
East Coast,G. Dep,rap,Hip-Hop,72056,Drag-On,Young Gunz,Peedi Crakk,15043
music,Gaeko,Korean,hip hop,36092,Yankie,Rhythm Power,Peejay,3294
Gangsta Rap,The Game,Hip-Hop,rap,27742308,Jay Rock,Rick Ross,Lloyd Banks,1948036
Hip-Hop,Gangsta Blac,memphis rap,memphis,80752,Playa Fly,The Kaze,Manson Family,12906
hip hop,Gangsta Boo,Hip-Hop,rap,295428,Evil Pimp,Three 6 Mafia,DJ Paul,56144
NA,NA,NA,NA,NA,NA,NA,NA,NA
indie,Gary,german,seen live,106862,Slut,Locas In Love,Angelika Express,11240
croatian,General Woo,Hip-Hop,rap,55308,Tram 11,El Bahattee,Blackout Project,1470
NA,NA,NA,NA,NA,NA,NA,NA,NA
UK hip hop,Giggs,rap,Grime,872837,Chip,Kano,Ghetts,108543
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Glasses Malone,rap,west coast,205533,Red Cafe,The Game,Chinx,43236
chicago,GLC,underground hip-hop,Hip-Hop,249604,Fonzworth Bentley,U-N-I,Donnis,86344
Hip-Hop,Goldie Loc,West Coast Rap,G-funk,26411,Bad Azz,Soopafly,Kurupt & Roscoe,4731
Crunk,Gorilla Zoe,Hip-Hop,rap,3147340,Boyz N Da Hood,Yung Joc,YoungBloodz,601530
hip hop,Grafh,rap,Hip-Hop,143399,Stack Bundles,J-HOOD,Hell Rell,23870
hip hop,Grand Puba,rap,Hip-Hop,450987,Brand Nubian,Keith Murray,Black Moon,61779
old school rap,Grandmaster Caz,rap,Hip-Hop,16608,Fantastic Freaks,Fab 5 Freddy,Busy Bee,4519
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Greydon Square,atheism,Hip-Hop,244383,Gripp,TOMBSTONE DA DEADMAN,Input,5365
rap,Grieves,underground hip-hop,Hip-Hop,2993251,Atmosphere,Brother Ali,Eyedea & Abilities,108764
Dirty South,Gucci Mane,rap,Hip-Hop,13601986,Future,2 Chainz,Chief Keef,1113366
rap,Gudda Gudda,young money,Hip-Hop,1617031,Jae Millz,Lil Twist,Triple C's,472498
west coast,Guerilla Black,rap,Hip-Hop,145723,Young Gunz,KNOC-TURN'AL,Lil' Zane,24279
underground hip-hop,Guilty Simpson,Stones throw,Hip-Hop,1470892,Sean Price,Black Milk,Random Axe,117695
trap,Gunplay,rap,Hip-Hop,438893,Rick Ross,Young Jeezy,Waka Flocka Flame,51261
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Desi Hip Hop,Hard Kaur,Bhangra,Indian,29546,Anushka Manchanda,Salim Merchant,Tochi Raina,5458
rap,Hasan Salaam,hip hop,Hip-Hop,46635,Akir,Mohammad Dangerfield,The Lost Children of Babylon,2991
hip hop,Havoc,rap,Hip-Hop,416685,Prodigy of Mobb Deep,The Alchemist,Mobb Deep,65408
rnb,Heavy D,rap,Hip-Hop,90507,Heavy D & The Boyz,MC Lyte,Whodini,16199
american,Hemlock Ernst,rap,Hip-Hop,5510,Milo,Chimurenga Renaissance,Uncommon Nasa,505
compton,Hi-C,Hip-Hop,rap,55160,Mausberg,Battlecat,Bad Azz,11188
underground hip-hop,Hi-Tek,rap,Hip-Hop,1348838,Reflection Eternal,Little Brother,Talib Kweli,141176
seen live,Hit-Boy,rap,Hip-Hop,157179,HS87,Audio Push,King Chip,10777
US Power Metal,Hittman,heavy metal,Power metal,36715,Titan Force,Apollo Ra,Exxplorer,3640
rap,Hodgy Beats,ofwgkta,Hip-Hop,1211560,MellowHype,Mike G,Domo Genesis,56195
hip hop,Honey Cocaine,rap,Hip-Hop,306263,Lil Debbie,Snow Tha Product,Chanel West Coast,15130
rap,Hoodie Allen,alternative rap,Hip-Hop,4900551,OCD: Moosh & Twist,Skizzy Mars,Chiddy Bang,272340
rap,Hopsin,underground hip-hop,Hip-Hop,2797964,Tech N9ne,Jarren Benton,Dizzy Wright,160278
Dirty South,Hot Dollar,rap,Hip-Hop,33536,2 Pistols,Ya Boy,Yung Berg,4847
hip hop,Huey,Hip-Hop,rap,617442,Unk,Dem Franchize Boyz,YoungBloodz,189721
Dirty South,Hurricane Chris,Hip-Hop,rap,896317,Unk,Dem Franchize Boyz,Yung Joc,253169
Hip-Hop,Hurricane G,hip hop,rap,10015,PMD,Thirstin Howl III,Kurious,1842
Gangsta Rap,Hush,rap,Hip-Hop,493217,Suni Clay,Styles of Beyond,Rock,74071
Hip-Hop,Hussein Fatal,Gangsta Rap,rap,39627,HARDTIMERZ,Big Syke,Young Noble,4668
Gangsta Rap,Ice Cube,Hip-Hop,rap,18115533,Eazy-E,N.W.A,Westside Connection,1434145
Dirty South,I-20,Hip-Hop,rap,102616,Dirtbag,8 Ball,Black Child,29388
san francisco,Iamsu!,rap,Hip-Hop,468248,Problem,Philthy Rich,Clyde Carson,37680
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Ice-T,Gangsta Rap,Hip-Hop,1648040,MC Ren,Above the Law,The D.O.C.,196207
pop,Iggy Azalea,rap,Hip-Hop,19761948,Nicki Minaj,Brooke Candy,Fergie,618978
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,Ill Bill,rap,Hip-Hop,2977742,Necro,La Coka Nostra,Slaine,168718
instrumental,Illmind,hip hop,Hip-Hop,74507,Dessa,K'naan,Daveed Diggs,10758
rap,iLoveMakonnen,seen live,Hip-Hop,578682,Father,Young Thug,Chief Keef,60959
underground hip-hop,Immortal Technique,rap,Hip-Hop,10831057,Jedi Mind Tricks,Army of the Pharaohs,Vinnie Paz,473748
desi,Imran Khan,Punjabi,Bhangra,253793,Mika Singh,Diljit Dosanjh,Panjabi MC,13342
memphis,Indo G,Hip-Hop,rap,124088,Prophet Posse,The Kaze,Crunchy Black,31407
rap,Inspectah Deck,wu-tang,Hip-Hop,1146055,Masta Killa,Cappadonna,U-God,138832
underground hip-hop,Isaiah Rashad,rap,Hip-Hop,3353533,Mick Jenkins,ScHoolboy Q,Ab-Soul,92804
afropop,Iyanya,africa,nigeria,72289,Timaya,Davido,P-Square,6812
pop,Iyaz,Hip-Hop,rnb,4223820,Sean Kingston,Jay Sean,Taio Cruz,665546
hip hop,Jay-Z,rap,Hip-Hop,81235102,Nas,Jay-Z & Kanye West,Kanye West,3070714
hip hop,Kanye West,rap,Hip-Hop,193985615,Jay-Z & Kanye West,Kendrick Lamar,Drake,4147540
seen live,Kendrick Lamar,rap,Hip-Hop,64795729,Joey Bada$$,Kanye West,J. Cole,1159530
hip hop,KRS-One,rap,Hip-Hop,5296610,Boogie Down Productions,Rakim,EPMD,480923
underground hip-hop,J Dilla,instrumental hip-hop,Hip-Hop,23893177,Jaylib,Madlib,Slum Village,496693
West Coast Rap,J-Diggs,hyphy,Bay Area,157597,Bavgate,Husalah,Dubee,32872
hip hop,J-Kwon,Hip-Hop,rap,1117944,Chingy,Petey Pablo,Ying Yang Twins,284514
hip hop,J-Son,rap,Hip-Hop,76589,Rj,Dreamon,Lazee,13911
underground hip-hop,J. Cole,rap,Hip-Hop,26286207,Big Sean,Kendrick Lamar,Drake,1416356
Hip-Hop,J. Stalin,Oakland,Bay Area,49139,Messy Marv,Shady Nate,Lil Blood,4348
RNBAY,J. Valentine,Bay Area,rnb,57000,Kevin McCall,Brandon Hines,Young Steff,8552
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,J.R. Writer,Dipset,rap,803165,Hell Rell,40 Cal.,Stack Bundles,110918
hip hop,Ja Rule,Hip-Hop,rap,4829291,Nelly,Chingy,Fat Joe,712793
hip hop,Jack Parow,south africa,seen live,496874,Fokofpolisiekar,Watkin Tudor Jones,MaxNormal.TV,25422
Gangsta Rap,The Jacka,rap,Bay Area,583488,Philthy Rich,Mac Dre,E-40,63953
NA,NA,NA,NA,NA,NA,NA,NA,NA
east coast rap,Jadakiss,rap,Hip-Hop,3919212,Styles P,Fabolous,Sheek Louch,581598
hip hop,Jaden Smith,Hip-Hop,rap,193041,Post Malone,Drake,Childish Gambino,15689
East Coast,Jae Millz,Hip-Hop,rap,1255964,Gudda Gudda,Short Dawg,Brisco,437842
hip hop,Jahlil Beats,instrumentals,trap,50189,808 Mafia,Lex Luger,Low Pros,3155
male vocalists,Jake Miller,pop,rap,532673,Timeflies,Austin Mahone,Jacob Whitesides,42435
producer,Jake One,underground hip-hop,Hip-Hop,552480,Little Brother,The Alchemist,Reks,37066
Drum and bass,Jam Master Jay,turntablism,Hip-Hop,917,F. De Wulf/Wax Doctor,Form Form,Ils & Solo,332
dancehall,Jamal,ragga,reggae,7020023,Eastwest Rockers,GrubSon,Bob One,206966
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Jamie Foxx,soul,rnb,5497572,Tyrese,Trey Songz,Omarion,753213
atlanta,Jarren Benton,rap,Hip-Hop,295916,Dizzy Wright,Hopsin,Rittz,16494
spotify,Jay Burna,under 2000 listeners,rap,4237,Young Rook,Hot Dollar,Wes Fif,1026
rap,Jay Electronica,underground hip-hop,Hip-Hop,2789536,Blu & Exile,Elzhi,Blu,231229
Jay Park,Jay Park,Korean,k-pop,2654991,ZICO,Simon Dominic,Dok2,47561
Gangsta Rap,Jay Rock,rap,Hip-Hop,2039832,Ab-Soul,The Game,Freddie Gibbs,214750
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Jayo Felony,Gangsta Rap,West Coast Rap,162192,Bad Azz,Kam,Battlecat,31304
Hip-Hop,Jaz-O,rap,hip hop,8653,Lake Featuring Cormega,G. Dep,Cory Gunz,1637
alternative,Jazze Pha,rap,Hip-Hop,84226,Big Gipp,Scarface Ft. Trey Songz,Shawn Kane,20374
rap,Jean Grae,underground hip-hop,Hip-Hop,1213809,Little Brother,Talib Kweli,Kenn Starr,102171
brainfeeder,Jeremiah Jae,Hip-Hop,experimental,512162,zeroh,Jonwayne,L'Orange & Jeremiah Jae,31930
soul,Jeremih,Hip-Hop,rnb,7413424,PARTYNEXTDOOR,Ty Dolla $ign,Tory Lanez,887682
Dirty South,Jermaine Dupri,rap,Hip-Hop,360480,Dem Franchize Boyz,Murphy Lee,Juvenile,93729
hip hop,Jeru the Damaja,rap,Hip-Hop,2947829,Black Moon,Gang Starr,Group Home,252468
pop,Jewell,hip hop,female vocalists,20790,B-Rezell,Sweet Sable,D.J. Rogers,5701
Hip-Hop,Jibbs,hip hop,rap,778477,Shop Boyz,Unk,Huey,171215
Dipset,Jim Jones,Hip-Hop,rap,3089358,Juelz Santana,The Diplomats,Cam'ron,540945
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,JME,dubstep,Grime,1800891,Skepta,Lethal Bizzle,Wiley,158221
hip hop,Joe Budden,rap,Hip-Hop,4281777,Slaughterhouse,"Royce da 5'9""",Jadakiss,468099
new york,Joell Ortiz,rap,Hip-Hop,1092708,Slaughterhouse,Joe Budden,"Royce da 5'9""",123215
NA,NA,NA,NA,NA,NA,NA,NA,NA
wwe,John Cena,rap,Hip-Hop,268343,John Cena & Tha Trademarc,Will Smith,Vanilla Ice,36000
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,Jon Connor,Hip-Hop,rap,313622,Slaughterhouse,Dr. Dre,Joe Budden,27022
Gangsta Rap,JT Money,rap,Hip-Hop,42912,Iconz,Poison Clan,Lil' Zane,10345
Gangsta Rap,JT The Bigga Figga,Hip-Hop,rap,86764,Ray Luv,Young Lay,11/5,16837
Dipset,Juelz Santana,Hip-Hop,rap,4036527,The Diplomats,Cam'ron,Jim Jones,655495
NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirty South,Juicy J,rap,Hip-Hop,5779383,Wiz Khalifa,Project Pat,Gucci Mane,464191
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Jus Allah,Hip-Hop,underground hip-hop,220027,Chief Kamachi,The Devil'z Rejects,Randam Luck,14892
NA,NA,NA,NA,NA,NA,NA,NA,NA
Dirty South,Juvenile,Hip-Hop,rap,2388243,B.G.,Big Tymers,Trick Daddy,444103
old school,Kurtis Blow,rap,Hip-Hop,710371,Whodini,The Sugarhill Gang,Grandmaster Flash and The Furious Five,178017
female vocalists,Lauryn Hill,Hip-Hop,soul,12768332,Fugees,Erykah Badu,Solange,969625
hip hop,K Camp,rap,Hip-Hop,478835,Rich Homie Quan,Yo Gotti,Lil Durk,64552
rap,K'naan,african,Hip-Hop,6308923,K-OS,Classified,Shad,461476
Hip-Hop,K-Dee,rap,G-funk,28306,Mad CJ Mac,I Smooth 7,Vontel,2409
rap,K-OS,Canadian,Hip-Hop,4468315,Shad,Classified,Sam Roberts,247628
east coast rap,K-Solo,Hip-Hop,rap,46004,Three Times Dope,D-Nice,Chill Rob G,8796
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
hyphy,Kafani,rap,Hip-Hop,49421,Dem Hoodstarz,Beeda Weeda,Traxamillion,10707
west coast,Kam,rap,G-funk,135495,Foesum,Bad Azz,Battlecat,28498
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian,Kardinal Offishall,rap,Hip-Hop,1720158,K-OS,Saukrates,Cassidy,334132
outlawz,Kastro,Hip-Hop,rap,2756,Young Noble & E.D.I.,Stormey,Young Noble,703
female vocals,Kat Dahlia,pop,Hip-Hop,696786,Becky G,Bea Miller,Ivy Levan,83695
drill,Katie Got Bandz,rap,Hip-Hop,78038,Sasha Go Hard,Lil Mouse,Ballout,5825
Hip-Hop,KB,electronic,demoscene,231679,Tedashii,Andy Mineo,Trip Lee,21877
rap,Keak Da Sneak,Bay Area,hyphy,713036,Mac Dre,E-40,Mistah F.A.B.,90396
new york,Keith Murray,rap,Hip-Hop,644816,Erick Sermon,Redman,Boot Camp Clik,86469
NA,NA,NA,NA,NA,NA,NA,NA,NA
seen live,Kendrick Lamar,rap,Hip-Hop,64795729,Joey Bada$$,Kanye West,J. Cole,1159530
australian,Kerser,Hip-Hop,Aussie Hip-Hop,108380,Fortay,Cheap Sober,Sarm,2163
trap,Kevin Gates,rap,Hip-Hop,2262878,Yo Gotti,Lil Durk,Boosie Badazz,123139
soul,Kevin McCall,rnb,Hip-Hop,113074,Lonny Bereal,Marcus Canty,Kevin Cossom,10825
female vocalists,Khia,Hip-Hop,rap,678577,Trina,Lil' Kim,Foxy Brown,132778
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Kia Shine,Hip-Hop,Dirty South,58159,Tum Tum,U.S.D.A.,Blood Raw,11969
rap,Kid Capri,producer,Hip-Hop,28387,Sir Menelik,Shabaam Sahdeeq,Beat Junkies,6719
alternative rap,Kid Cudi,rap,Hip-Hop,66590710,WZRD,Travi$ Scott,Kanye West,2375056
Chicano Rap,Kid Frost,Hip-Hop,rap,255328,Above the Law,Lil Rob,South Central Cartel,57984
west coast,Kid Ink,rap,Hip-Hop,5703224,Tyga,Chris Brown & Tyga,August Alsina,429325
