tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
hip hop,Awkwafina,Hip-Hop,rap,107524,Cakes Da Killa,JUNGLEPUSSY,Kitty,8485
new york,AZ,rap,Hip-Hop,3719641,Cormega,Nas,Kool G Rap,331116
electronic,Azealia Banks,rap,Hip-Hop,18815400,Brooke Candy,M.I.A.,Nicki Minaj,486392
old school,Big Daddy Kane,rap,Hip-Hop,1725723,EPMD,Boogie Down Productions,Eric B. & Rakim,247962
hip hop,Busta Rhymes,rap,Hip-Hop,14485450,Redman,Xzibit,Method Man,1286831
rap,B-Legit,west coast,Bay Area,215650,Celly Cel,C-Bo,Ant Banks,45625
Latin Rap,B-Real,rap,Hip-Hop,767566,Cypress Hill,The Psycho Realm,DJ Muggs,74779
Hip-Hop,B.G.,rap,Dirty South,825479,Juvenile,Big Tymers,C-Murder,196969
Hip-Hop,B.G. Knocc Out,G-funk,rap,17811,Big Prodeje,Tweedy Bird Loc,Dresta,1633
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Baby Bash,rnb,Hip-Hop,2722943,T-Pain,Bow Wow,B2K,515368
rnb,Baby Boy Da Prince,Hip-Hop,rap,196523,Fat Joe feat. Lil Wayne,Baby Boy,2 Pistols,37589
electronic,Baby D,90s,dance,404687,Livin' Joy,JX,Alex Party,82551
West Coast Rap,Bad Azz,Gangsta Rap,rap,120000,Soopafly,Battlecat,Kurupt & J Wells,29588
hindi rap,Badshah,punjabi rap,Punjabi,13767,Jawad Ahmad,Diljit Dosanjh,Hardy Sandhu,2447
mine,baeza,cute,sexy,13229,Squirm G,DJ Chose,Trendsetter Sense,2739
rap,Bahamadia,hip hop,Hip-Hop,527229,MC Lyte,Mic Geronimo,Black Moon,63590
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Bangladesh,Hip-Hop,rap,32395,Maybach Music Group,Chinx Drugz,Ron Browz,3315
rap,Bas,hip hop,reggae,509014,J. Cole,Isaiah Rashad,Logic,46883
Gangsta Rap,Battlecat,rap,G-funk,75231,Bad Azz,Lil 1/2 Dead,Foesum,13470
hip hop,Beanie Sigel,rap,Hip-Hop,1673860,Memphis Bleek,Jadakiss,Freeway,329158
Hip-Hop,Becky G,female vocalists,pop,2124425,Cher Lloyd,G.R.L.,Hailee Steinfeld,224736
jungle,Benny Blanco,Drum and bass,dnb,13325,Mencer,Lou Zgain,Ripshop,4523
hip hop,Benzino,rap,Hip-Hop,810269,Bobby Creekwater,Swifty McVay,Kuniva,352459
seen live,Big Boi,rap,Hip-Hop,8486228,Andre 3000,OutKast,Big K.R.I.T.,490374
NA,NA,NA,NA,NA,NA,NA,NA,NA
under 2000 listeners,Big Ed,hip hop,Hip-Hop,13159,MR. SERV-ON,Prime Suspects,Skull Duggrey,1743
rap,Big Gipp,hip hop,Hip-Hop,38585,Witchdoctor,Cool Breeze,Slimm Calhoun,8930
H-Town,Big Hawk,rap,Dirty South,10221,A.B.N.,Swisha House,Big Pokey,1256
Southern Hip Hop,Big K.R.I.T.,rap,Hip-Hop,7506813,Curren$y,Jay Rock,Freddie Gibbs,430281
rap,Big Kuntry King,Hip-Hop,Dirty South,192912,Blood Raw,Young Dro & Yung LA,Yung Ralph,61667
Lungcore,Big Lurch,om nom nom,cannibal,29278,Young Droop,Lunasicc,X-Raided,2511
new york,Big L,rap,Hip-Hop,7572378,Big Punisher,Gang Starr,Mobb Deep,514124
Gangsta Rap,Big Mello,Houston,southern rap,93139,Big Pokey,Street Military,Guerilla Maab,19996
hip hop,Big Mike,rap,Hip-Hop,88081,Tela,5th Ward Boyz,Willie D,12219
Houston,Big Moe,Dirty South,rap,449830,Fat Pat,DJ Screw,E.S.G.,77823
new york,Big Noyd,rap,Hip-Hop,304107,Cormega,Tragedy Khadafi,Capone-N-Noreaga,44842
Hip-Hop,Big Pokey,rap,Dirty South,159531,H.A.W.K.,Guerilla Maab,Lil' O,39590
Justus League,Big Pooh,rap,Hip-Hop,67621,L.E.G.A.C.Y.,The Away Team,Chaundon,10793
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Big Scoob,underground hip-hop,Strange Music,234159,Cognito,Skatterman & Snug Brim,57th Street Rogue Dog Villians,52564
southern rap,Big Smo,rap,big smo,77528,Redneck Souljers,Bottleneck,Demun Jones,9803
