tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
hip hop,Awkwafina,Hip-Hop,rap,108144,JUNGLEPUSSY,Cakes Da Killa,Kitty,8537
new york,AZ,rap,Hip-Hop,3721441,Cormega,Nas,Masta Ace,331292
electronic,Azealia Banks,rap,Hip-Hop,18840710,Brooke Candy,M.I.A.,Nicki Minaj,486884
old school,Big Daddy Kane,rap,Hip-Hop,1727318,EPMD,Boogie Down Productions,Eric B. & Rakim,248150
hip hop,Busta Rhymes,rap,Hip-Hop,14496043,Redman,Xzibit,Method Man,1287574
rap,B-Legit,west coast,Bay Area,215824,Celly Cel,C-Bo,Ant Banks,45671
Latin Rap,B-Real,rap,Hip-Hop,767703,Cypress Hill,The Psycho Realm,WC,74792
Hip-Hop,B.G.,rap,Dirty South,825706,Juvenile,Big Tymers,C-Murder,196989
Hip-Hop,B.G. Knocc Out,G-funk,rap,17887,Big Prodeje,Tweedy Bird Loc,Dresta,1641
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Baby Bash,rnb,Hip-Hop,2724595,Bow Wow,T-Pain,B2K,515659
rnb,Baby Boy Da Prince,Hip-Hop,rap,196628,Fat Joe feat. Lil Wayne,Baby Boy,2 Pistols,37613
electronic,Baby D,90s,dance,405031,Livin' Joy,JX,Alex Party,82582
West Coast Rap,Bad Azz,Gangsta Rap,rap,120073,Soopafly,Battlecat,Kurupt & J Wells,29595
hindi rap,Badshah,punjabi rap,Punjabi,13992,Jawad Ahmad,Diljit Dosanjh,Hardy Sandhu,2471
mine,baeza,cute,sexy,13268,Squirm G,DJ Chose,Trendsetter Sense,2749
rap,Bahamadia,hip hop,Hip-Hop,527921,MC Lyte,Black Moon,Brand Nubian,63676
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Bangladesh,Hip-Hop,rap,32408,Maybach Music Group,Chinx Drugz,Ron Browz,3315
rap,Bas,hip hop,reggae,513054,J. Cole,Isaiah Rashad,Logic,47272
Gangsta Rap,Battlecat,rap,G-funk,75247,Bad Azz,Lil 1/2 Dead,Foesum,13471
hip hop,Beanie Sigel,rap,Hip-Hop,1674531,Memphis Bleek,Jadakiss,Freeway,329261
Hip-Hop,Becky G,female vocalists,pop,2131950,Cher Lloyd,G.R.L.,Zendaya,225248
jungle,Benny Blanco,Drum and bass,dnb,13338,Mencer,Lou Zgain,Ripshop,4523
hip hop,Benzino,rap,Hip-Hop,810298,Bobby Creekwater,Swifty McVay,Kuniva,352463
seen live,Big Boi,rap,Hip-Hop,8500251,Andre 3000,OutKast,Big K.R.I.T.,492215
